STORE,STORE_NAME,LABEL_NAME,ADDRESS,GEO_LATITUDE,GEO_LONGITUDE,OPEN_TIME,CLOSE_TIME
111,Колывань,Сибириада,"633161, пгт. Колывань, ул. Советская, 57",55.305062,82.740003,8:00:00 AM,10:00:00 PM
113,Омск Авангардная 5,Сибириада,"644052, г. Омск, ул. Авангардная, 5",55.018334,73.411214,8:00:00 AM,12:00:00 AM
114,Омск Нефтезаводская 27,Холди,"644053, г. Омск, ул. Нефтезаводская, 27",55.038294,73.26266,8:00:00 AM,11:00:00 PM
115,Омск Химиков 42,Сибириада,"644083, г. Омск, ул. Химиков, 42",55.050499,73.299662,8:00:00 AM,11:00:00 PM
117,Омск Мельничная 122,Сибириада,"644036, г. Омск, ул. Мельничная, 122",54.909572,73.311007,8:00:00 AM,10:00:00 PM
119,Омск Бульвар Зеленый 8,Планета Холидей,"644119, г.Омск, Бульвар Зеленый, 8",55.000585,73.290427,8:00:00 AM,11:00:00 PM
123,Магеллан,Холидей Классик,"633203, г. Искитим, ул. Лермонтова, 43",54.632541,83.30463,8:00:00 AM,12:00:00 AM
124,Томск-Северск,Сибириада,"636036, г. Северск, пр. Коммунистический, 71",56.598924,84.89057,7:00:00 AM,12:00:00 AM
125,Омск Лукашевича 10В,Холди,"644081, г. Омск, ул. Лукашевича, 10в",54.995421,73.272559,9:00:00 AM,10:00:00 PM
126,Омск-Маяк,Планета Холидей,"644119, г. Омск, пр-кт Комарова, 2/2",54.997709,73.282809,8:00:00 AM,10:00:00 PM
127,Куйбышев,Сибириада,"632382, г. Куйбышев, 9 квартал, 9",55.446166,78.328925,8:00:00 AM,10:00:00 PM
129,Искитим ТЦ Южный,Холидей Классик,"633208, г. Искитим, микрорайон Южный, 34",54.61827,83.287921,8:00:00 AM,12:00:00 AM
131,Крылова,Сибириада,"630005, г. Новосибирск, ул. Крылова, 53/1",55.042411,82.934075,8:00:00 AM,12:00:00 AM
133,Турне-Троллейный,Турне,"630045, г. Новосибирск, ул. Троллейная, 130а",54.966463,82.852966,8:00:00 AM,12:00:00 AM
134,Кольцово18А,Холидей Классик,"630559, р.п. Кольцово, Кольцово, 18а",54.942211,83.185172,8:00:00 AM,12:00:00 AM
135,Маяковского,Холидей Классик,"630046, г. Новосибирск, ул. Маяковского, 24",54.973879,83.085962,8:00:00 AM,12:00:00 AM
139,Холди-7,Холди,"652560, г. Полысаево, ул.Космонавтов, 88/1",54.608113,86.279132,8:00:00 AM,9:00:00 PM
141,Холди-5,Холди,"654038, г. Новокузнецк, ул. Тореза, 4",53.83619,87.177007,8:00:00 AM,9:00:00 PM
